,sampler,feature_set,dimension,sample_size,classifier,accuracy,number_of_nan_rows,nan_test_idx
0,Latin Hypercube,disp,2,100,dtree,0.3333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
1,Random walk,disp,2,100,dtree,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
2,Hilbert curve,disp,2,100,dtree,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
3,Latin Hypercube,disp,5,100,dtree,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
4,Random walk,disp,5,100,dtree,0.06944444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
5,Hilbert curve,disp,5,100,dtree,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
6,Latin Hypercube,disp,10,100,dtree,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
7,Random walk,disp,10,100,dtree,0.05555555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
8,Hilbert curve,disp,10,100,dtree,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
9,Latin Hypercube,disp,20,100,dtree,0.3611111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
10,Random walk,disp,20,100,dtree,0.1111111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
11,Hilbert curve,disp,20,100,dtree,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
12,Latin Hypercube,disp,2,100,knn,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
13,Random walk,disp,2,100,knn,0.08333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
14,Hilbert curve,disp,2,100,knn,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
15,Latin Hypercube,disp,5,100,knn,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
16,Random walk,disp,5,100,knn,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
17,Hilbert curve,disp,5,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
18,Latin Hypercube,disp,10,100,knn,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
19,Random walk,disp,10,100,knn,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
20,Hilbert curve,disp,10,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
21,Latin Hypercube,disp,20,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
22,Random walk,disp,20,100,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
23,Hilbert curve,disp,20,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
24,Latin Hypercube,disp,2,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
25,Random walk,disp,2,100,rfc,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
26,Hilbert curve,disp,2,100,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
27,Latin Hypercube,disp,5,100,rfc,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
28,Random walk,disp,5,100,rfc,0.06944444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
29,Hilbert curve,disp,5,100,rfc,0.2361111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
30,Latin Hypercube,disp,10,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
31,Random walk,disp,10,100,rfc,0.18055555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
32,Hilbert curve,disp,10,100,rfc,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
33,Latin Hypercube,disp,20,100,rfc,0.375,0,"Int64Index([], dtype='int64', name='test_id')"
34,Random walk,disp,20,100,rfc,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
35,Hilbert curve,disp,20,100,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
36,Latin Hypercube,disp,2,1000,dtree,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
37,Random walk,disp,2,1000,dtree,0.1527777777777778,1,"Int64Index([1364], dtype='int64', name='test_id')"
38,Hilbert curve,disp,2,1000,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
39,Latin Hypercube,disp,5,1000,dtree,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
40,Random walk,disp,5,1000,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
41,Hilbert curve,disp,5,1000,dtree,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
42,Latin Hypercube,disp,10,1000,dtree,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
43,Random walk,disp,10,1000,dtree,0.08333333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
44,Hilbert curve,disp,10,1000,dtree,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
45,Latin Hypercube,disp,20,1000,dtree,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
46,Random walk,disp,20,1000,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
47,Hilbert curve,disp,20,1000,dtree,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
48,Latin Hypercube,disp,2,1000,knn,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
49,Random walk,disp,2,1000,knn,0.1527777777777778,1,"Int64Index([1364], dtype='int64', name='test_id')"
50,Hilbert curve,disp,2,1000,knn,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
51,Latin Hypercube,disp,5,1000,knn,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
52,Random walk,disp,5,1000,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
53,Hilbert curve,disp,5,1000,knn,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
54,Latin Hypercube,disp,10,1000,knn,0.625,0,"Int64Index([], dtype='int64', name='test_id')"
55,Random walk,disp,10,1000,knn,0.1527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
56,Hilbert curve,disp,10,1000,knn,0.5416666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
57,Latin Hypercube,disp,20,1000,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
58,Random walk,disp,20,1000,knn,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
59,Hilbert curve,disp,20,1000,knn,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
60,Latin Hypercube,disp,2,1000,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
61,Random walk,disp,2,1000,rfc,0.19444444444444445,1,"Int64Index([1364], dtype='int64', name='test_id')"
62,Hilbert curve,disp,2,1000,rfc,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
63,Latin Hypercube,disp,5,1000,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
64,Random walk,disp,5,1000,rfc,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
65,Hilbert curve,disp,5,1000,rfc,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
66,Latin Hypercube,disp,10,1000,rfc,0.6805555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
67,Random walk,disp,10,1000,rfc,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
68,Hilbert curve,disp,10,1000,rfc,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
69,Latin Hypercube,disp,20,1000,rfc,0.6527777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
70,Random walk,disp,20,1000,rfc,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
71,Hilbert curve,disp,20,1000,rfc,0.5555555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
72,Latin Hypercube,ela_distr,2,100,dtree,0.2777777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
73,Random walk,ela_distr,2,100,dtree,0.09722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
74,Hilbert curve,ela_distr,2,100,dtree,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
75,Latin Hypercube,ela_distr,5,100,dtree,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
76,Random walk,ela_distr,5,100,dtree,0.125,0,"Int64Index([], dtype='int64', name='test_id')"
77,Hilbert curve,ela_distr,5,100,dtree,0.375,0,"Int64Index([], dtype='int64', name='test_id')"
78,Latin Hypercube,ela_distr,10,100,dtree,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
79,Random walk,ela_distr,10,100,dtree,0.1388888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
80,Hilbert curve,ela_distr,10,100,dtree,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
81,Latin Hypercube,ela_distr,20,100,dtree,0.4722222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
82,Random walk,ela_distr,20,100,dtree,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
83,Hilbert curve,ela_distr,20,100,dtree,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
84,Latin Hypercube,ela_distr,2,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
85,Random walk,ela_distr,2,100,knn,0.1111111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
86,Hilbert curve,ela_distr,2,100,knn,0.3194444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
87,Latin Hypercube,ela_distr,5,100,knn,0.4027777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
88,Random walk,ela_distr,5,100,knn,0.20833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
89,Hilbert curve,ela_distr,5,100,knn,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
90,Latin Hypercube,ela_distr,10,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
91,Random walk,ela_distr,10,100,knn,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
92,Hilbert curve,ela_distr,10,100,knn,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
93,Latin Hypercube,ela_distr,20,100,knn,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
94,Random walk,ela_distr,20,100,knn,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
95,Hilbert curve,ela_distr,20,100,knn,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
96,Latin Hypercube,ela_distr,2,100,rfc,0.3055555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
97,Random walk,ela_distr,2,100,rfc,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
98,Hilbert curve,ela_distr,2,100,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
99,Latin Hypercube,ela_distr,5,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
100,Random walk,ela_distr,5,100,rfc,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
101,Hilbert curve,ela_distr,5,100,rfc,0.3472222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
102,Latin Hypercube,ela_distr,10,100,rfc,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
103,Random walk,ela_distr,10,100,rfc,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
104,Hilbert curve,ela_distr,10,100,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
105,Latin Hypercube,ela_distr,20,100,rfc,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
106,Random walk,ela_distr,20,100,rfc,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
107,Hilbert curve,ela_distr,20,100,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
108,Latin Hypercube,ela_distr,2,1000,dtree,0.4166666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
109,Random walk,ela_distr,2,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
110,Hilbert curve,ela_distr,2,1000,dtree,0.3611111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
111,Latin Hypercube,ela_distr,5,1000,dtree,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
112,Random walk,ela_distr,5,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
113,Hilbert curve,ela_distr,5,1000,dtree,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
114,Latin Hypercube,ela_distr,10,1000,dtree,0.6111111111111112,0,"Int64Index([], dtype='int64', name='test_id')"
115,Random walk,ela_distr,10,1000,dtree,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
116,Hilbert curve,ela_distr,10,1000,dtree,0.6666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
117,Latin Hypercube,ela_distr,20,1000,dtree,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
118,Random walk,ela_distr,20,1000,dtree,0.2222222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
119,Hilbert curve,ela_distr,20,1000,dtree,0.6944444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
120,Latin Hypercube,ela_distr,2,1000,knn,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
121,Random walk,ela_distr,2,1000,knn,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
122,Hilbert curve,ela_distr,2,1000,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
123,Latin Hypercube,ela_distr,5,1000,knn,0.5,0,"Int64Index([], dtype='int64', name='test_id')"
124,Random walk,ela_distr,5,1000,knn,0.25,0,"Int64Index([], dtype='int64', name='test_id')"
125,Hilbert curve,ela_distr,5,1000,knn,0.4444444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
126,Latin Hypercube,ela_distr,10,1000,knn,0.4583333333333333,0,"Int64Index([], dtype='int64', name='test_id')"
127,Random walk,ela_distr,10,1000,knn,0.19444444444444445,0,"Int64Index([], dtype='int64', name='test_id')"
128,Hilbert curve,ela_distr,10,1000,knn,0.5694444444444444,0,"Int64Index([], dtype='int64', name='test_id')"
129,Latin Hypercube,ela_distr,20,1000,knn,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
130,Random walk,ela_distr,20,1000,knn,0.2361111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
131,Hilbert curve,ela_distr,20,1000,knn,0.4861111111111111,0,"Int64Index([], dtype='int64', name='test_id')"
132,Latin Hypercube,ela_distr,2,1000,rfc,0.4305555555555556,0,"Int64Index([], dtype='int64', name='test_id')"
133,Random walk,ela_distr,2,1000,rfc,0.16666666666666666,0,"Int64Index([], dtype='int64', name='test_id')"
134,Hilbert curve,ela_distr,2,1000,rfc,0.3888888888888889,0,"Int64Index([], dtype='int64', name='test_id')"
135,Latin Hypercube,ela_distr,5,1000,rfc,0.5972222222222222,0,"Int64Index([], dtype='int64', name='test_id')"
136,Random walk,ela_distr,5,1000,rfc,0.2916666666666667,0,"Int64Index([], dtype='int64', name='test_id')"
137,Hilbert curve,ela_distr,5,1000,rfc,0.5277777777777778,0,"Int64Index([], dtype='int64', name='test_id')"
138,Latin Hypercube,ela_distr,10,1000,rfc,0.5833333333333334,0,"Int64Index([], dtype='int64', name='test_id')"
139,Random walk,ela_distr,10,1000,rfc,0.18055555555555555,0,"Int64Index([], dtype='int64', name='test_id')"
140,Hilbert curve,ela_distr,10,1000,rfc,0.5138888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
141,Latin Hypercube,ela_distr,20,1000,rfc,0.6388888888888888,0,"Int64Index([], dtype='int64', name='test_id')"
